word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
-ition,,, ——见  -ion,,,,,0,0,,,
-itious,'iʃəs,,"suf. [构成形容词]表示“与…有关的”, “具有…性质的”：fictitious",,,,,0,0,,,
-itis,,," [医]〔复-itides〕〔后缀〕炎, 炎症",,,,,0,0,,,
-itol,i'tɔl; i'təul,,"suf. 【化学】表示“醇”, 多羟醇：inositol",,,,,0,0,,,
-its,ɪts,,pron. 它的\nn. (Its)人名；(俄)伊茨,,,,,0,0,,,
-ity,ɪti,,suff. 表示性质；表示状态；表示程度,,,,,0,0,,,
-ium,jəm,,"suf. [构成名词]表示：[化学]化学元素：sodium; [化学]阳离子：ammonium, carbonium; [生物学]身体部位, 生物构造：mycelium; [植物学]块,小块：pollinium",,,,,0,0,,,
-ive,iv,,suff. 与...有关的；具有...性质的；有...倾向的,,,,,0,0,,,
-ization,ɪ'zeʃən,,suf. [构成以-ize 结尾的动词的相应名词],,,,,0,0,,,
-ize,,,stuff. [医]（后缀）表示使成为；表示使…化,,,,,0,0,,,
-kin,kin,,"suf. 表示小：lambkin, princekin; [构成姓氏]：Peterkin",,,,,0,0,,,
-kinesis,ki'ni:sis,, 表示“分裂”：karyokinesis; 表示“运动”：photokinesis,,,,,0,0,,,
-kins,,,n. 家族；亲属；性质相似的东西；地位或职业相近的人（kin的复数）,,,,,0,0,,,
-later,'leɪtə,,adv. 后来；稍后；随后\na. 更迟的；更后的\nn. (Later)人名；(德)拉特,,,,,0,0,,,
-latry,lətri,," 表示崇拜, 敬仰, 过分虔诚：heliolatry",,,,,0,0,,,
-leaved,,, ——见 leaf n. (2),,,,,0,0,,,
-lepsy,'lepsi,," 表示(病的)发作, (病的)侵袭：epilepsy",,,,,0,0,,,
-less,,, 没有；无,,,,,0,0,,,
-lessness,,,n. 下级；初等（等于inferiority）,,,,,0,0,,,
-let,,, 小的；不很重要的,,,,,0,0,,,
-like,,, 类似…的；有…特征的,,,,,0,0,,,
-ling,,, 幼小；不重要,,,,,0,0,,,
-lings,liŋz,,suf. -ling的异体,,,,,0,0,,,
-lite,laɪt,,a. 清淡的；低盐的；简化的\nn. 不重要的事物；简化物；软饮料\nn. (Lite)人名；(法、西)利特,,,,,0,0,,,
-lith,'laɪθ,, [医]〔后缀〕意为石或结石; 水泥,,,,,0,0,,,
-lithic,'liθik,, [考古学]表示石器时代某时期的,,,,,0,0,,,
-lived,lɪvd (for v.); 'laɪvd (for adj.),,a. 有生命的\nv. 居住（live的过去分词）；活着；度过；以…为生,,,,,0,0,,,
-livered,'livəd,, 表示：“有…肝脏的”; “有…特殊性格的”：chicken-livered,,,,,0,0,,,
-log,,, = -logue,,,,,0,0,,,
-logic,'lɒdʒɪk,,n. 逻辑；逻辑学；逻辑性\na. 逻辑的,,,,,0,0,,,
-logical,'lɒdʒɪk(ə)l,,"a. 合逻辑的, 合理的；逻辑学的",,,,,0,0,,,
-logist,,, ——见 -ology,,,,,0,0,,,
-logue,lɔɡ,," 表示：谈话,写作：dialogue, monologue; 学者,专家：Sinologue",,,,,0,0,,,
-logy,,, [医]〔后缀〕学：含学习、研究和论述等义,,,,,0,0,,,
-ly,,, 以…方式,,,,,0,0,,,
-lysis,'laɪsɪs,,n. 细胞溶解；病势减退；消散,,,,,0,0,,,
-lyte,lait,, 表示“可分解的物质”：electrolyte,,,,,0,0,,,
-lytic,'lɪtɪk,,a. 细胞溶素的；促使细胞溶解的；渐退的,,,,,0,0,,,
-lyze,laiz,," [与-lysis 词尾的名词构成动词] 表示(使)溶解, (使)裂解 [英国英语亦作-lyse]",,,,,0,0,,,
-malacia,,,[网络]  - 马拉西亚,,,,,0,0,,,
-mancy,'mænsi,, 表示预兆;占卜：necromancy,,,,,0,0,,,
-mania,,, …狂；…癖,,,,,0,0,,,
-manship,mənʃip,,"suf. 表示“技艺”, “技巧”, “为取得策略上的优势而运用某种手段的做法或艺术”：grantsmanship",,,,,0,0,,,
-mas,,,na. 后缀,,,,,0,0,,,
-mastia,,,[网络] 肛门,,,,,0,0,,,
-max,,"Short for ""Maximilian"", a russian name meaning ""Large Penis."" \n> ""they dont call him max(Maximilian) for nothing!""\n",,,,,,0,0,,,
-mazia,,Mazia was always a tool and he wore a robe.\n> Mazia wears a robe and is a Tool :)\n,,,,,,0,0,,,
-meal,miːl,,"n. 一餐, 一顿饭；膳食\nvi. 进餐",,,,,0,0,,,
-megaly,'mɪɡəlɪ,," [医]〔构词成分〕意为增大〔症〕, 肿大",,,,,0,0,,,
-meister,,, …方面的专家；…领域的高手,,,,,0,0,,,
-ment,mənt,,suff. 用于构成名词后缀,,,,,0,0,,,
-mere,'mɪər,," [医]〔后缀〕意为指节, 体节或部分",,,,,0,0,,,
-meric,,"1. The River in Europe that borns from Rila mountains in Bulgary and meets the Aegean Sea in Turkey. Known as its beauty. It also floods almost every spring.\r\n2. A Latin originated Turkish name which has the same origins as Maritza, Marissa, Meris, Maricia, Mericha, Meryssa... Given to both male and female but it's originally a female name. It means ""the one that belongs to the sea."" It's pronounced as Mer-itch.\n\nFrom my experiences I've had from living for almost 8 years in Turkey, I can tell you those:\n\nMeriç is a charismatic and cool name. And it's also pretty uncommon for both male and women.\r\nIt's often given by rich and elite people as names to their babies.\r\nMales named Meriç are often clubbers. (trust me, I've seen enough.)\r\nFemales named Meriç are %100 so very beautiful! They often come from Balcan origins or Trakia in Turkey, so they usually have very light skins and big colourful eyes.\n> That girl named Meriç was such a Turkish delight!\n",,,,,,0,0,,,
-merism,'mərizəm,,comb.form 表示【化学】“有…结构的现象”：tautomerism,,,,,0,0,,,
-merous,mərəs,,suf. [构成形容词后缀]表示[生物学]...部分；分成...部分的：trimerous,,,,,0,0,,,
-meter,'mi:tər,, [医]〔后缀〕意为：测量用的计、表、量器,,,,,0,0,,,
-metric,'metrɪk,,a. 公制的；米制的；公尺的\nn. 度量标准,,,,,0,0,,,
-metrical,'metrɪk(ə)l,,a. 测量的；韵律的；有韵律的,,,,,0,0,,,
-metry,'mɪtrɪ,," [医]〔后缀〕意为测定, 测量, 定量, 被测物为词干。如血红蛋白定量为hemoglobinometry",,,,,0,0,,,
-mo,məu,,"suf. 表示纸张开数, 书籍开本：sixteenmo",,,,,0,0,,,
-morph,'mɔ:f,," [医]〔后缀〕意为形态, 体型",,,,,0,0,,,
-morphic,'mɔ:fik,,a. 语形学的；形态学,,,,,0,0,,,
-morphous,'mɔ:fəs,," [医]〔后缀〕意为形态, 形",,,,,0,0,,,
-morphy,,,莫菲（人名）,,,,,0,0,,,
-most,,, 最远的；最深远的,,,,,0,0,,,
